iata,name,city,state,country,elevation,lat,lon,tz
DGP,Daugavpils Intrenational Airport,Daugavpils,Daugavpils-municipality,LV,398,55.94472122,26.66500092,Europe/Riga
LPX,Liepaja International Airport,Liepaja,Grobiņa,LV,16,56.51750183,21.09690094,Europe/Riga
RIX,Riga International Airport,Riga,Mārupe,LV,36,56.92359924,23.97109985,Europe/Riga
VNT,Ventspils International Airport,Ventspils,Ventspils,LV,19,57.35779953,21.5442009,Europe/Riga
KUN,Kaunas International Airport,Kaunas,,LT,256,54.96390152,24.08480072,Europe/Vilnius
KLJ,Klaipeda Airport,Klaipeda,,LT,59,55.7118988,21.24279976,Europe/Vilnius
PLQ,Palanga International Airport,Palanga,,LT,33,55.97320175,21.09390068,Europe/Vilnius
PNV,Panevezys Air Base,Panevezys,Panevėzys,LT,197,55.72940063,24.46080017,Europe/Vilnius
SQQ,Siauliai International Airport,Siauliai,,LT,443,55.89390183,23.39500046,Europe/Vilnius
HLJ,Barysiai Airport,Barysiai,Siauliai,LT,270,56.0705986,23.55809975,Europe/Vilnius
VNO,Vilnius International Airport,Vilnius,Vilnius,LT,646,54.63410187,25.28580093,Europe/Vilnius
ALJ,Alexander Bay Airport,Alexander Bay,Northern-Cape,ZA,98,-28.57500076,16.5333004,Africa/Johannesburg
AGZ,Aggeneys Airport,Aggeneys,Northern-Cape,ZA,2648,-29.28179932,18.81389999,Africa/Johannesburg
ADY,Alldays Airport,Alldays,Limpopo,ZA,2600,-22.67900085,29.05550003,Africa/Johannesburg
BIY,Bisho Airport,Bisho,Eastern-Cape,ZA,1950,-32.89709854,27.27910042,Africa/Johannesburg
BFN,J B M Hertzog International Airport,Bloemfontain,Orange-Free-State,ZA,4458,-29.09269905,26.30240059,Africa/Johannesburg
UTE,Bultfontein Airport,Bultfontein,Orange-Free-State,ZA,4400,-28.273369,26.135835,Africa/Johannesburg
CDO,Cradock Airport,Cradock,Eastern-Cape,ZA,3110,-32.15670013,25.64559937,Africa/Johannesburg
CPT,Cape Town International Airport,Cape Town,Western-Cape,ZA,151,-33.96480179,18.60169983,Africa/Johannesburg
DUK,Mubatuba Airport,Mubatuba,KwaZulu-Natal,ZA,210,-28.36840057,32.24810028,Africa/Johannesburg
PZL,Zulu Inyala Airport,Phinda,KwaZulu-Natal,ZA,160,-27.84939957,32.30970001,Africa/Johannesburg
ELS,Ben Schoeman Airport,East London,Eastern-Cape,ZA,435,-33.03559875,27.82589912,Africa/Johannesburg
EMG,Empangeni Airport,Empangeni,KwaZulu-Natal,ZA,251,-28.71999931,31.88999939,Africa/Johannesburg
ELL,Ellisras Matimba Airport,Ellisras,Limpopo,ZA,2799,-23.72669983,27.68829918,Africa/Johannesburg
FCB,Ficksburg Sentraoes Airport,Ficksburg,Orange-Free-State,ZA,5315,-28.82309914,27.90889931,Africa/Johannesburg
GCJ,Grand Central Airport,Midrand,Gauteng,ZA,5325,-25.98629951,28.14010048,Africa/Johannesburg
GRJ,George Airport,George,Western-Cape,ZA,648,-34.00559998,22.37890053,Africa/Johannesburg
GIY,Giyani Airport,Giyani,Limpopo,ZA,1584,-23.2833004,30.64999962,Africa/Johannesburg
QRA,Rand Airport,Johannesburg,Gauteng,ZA,5483,-26.24250031,28.15119934,Africa/Johannesburg
HLW,Hluhluwe Airport,Hluhluwe,KwaZulu-Natal,ZA,249,-28.01660499,32.27517128,Africa/Johannesburg
HRS,Harrismith Airport,Harrismith,Orange-Free-State,ZA,5585,-28.23509979,29.10619926,Africa/Johannesburg
HDS,Hoedspruit Air Force Base Airport,Hoedspruit,Limpopo,ZA,1743,-24.36860085,31.04870033,Africa/Johannesburg
KXE,P C Pelser Airport,Klerksdorp,North-West,ZA,4444,-26.87109947,26.71800041,Africa/Johannesburg
KIM,Kimberley Airport,Kimberley,Northern-Cape,ZA,3950,-28.80279922,24.76519966,Africa/Johannesburg
MQP,Kruger Mpumalanga International Airport,Mpumalanga,Mpumalanga,ZA,2829,-25.38319969,31.10560036,Africa/Johannesburg
KOF,Komatipoort Airport,Komatipoort,Mpumalanga,ZA,541,-25.44029999,31.93000031,Africa/Johannesburg
KMH,Johan Pienaar Airport,Kuruman,Northern-Cape,ZA,4382,-27.45669937,23.41139984,Africa/Johannesburg
KLZ,Kleinsee Airport,Kleinsee,Northern-Cape,ZA,270,-29.68840027,17.09399986,Africa/Johannesburg
HLA,Lanseria Airport,Johannesburg,Gauteng,ZA,4517,-25.93849945,27.92609978,Africa/Johannesburg
LMR,Lime Acres Finsch Mine Airport,Lime Acres,Northern-Cape,ZA,4900,-28.36009979,23.43910027,Africa/Johannesburg
LDZ,Londolozi Airport,Londolozi,Mpumalanga,ZA,1300,-24.75020027,31.47570038,Africa/Johannesburg
DUR,King Shaka International Airport,Durban,KwaZulu-Natal,ZA,295,-29.61444444,31.11972222,Africa/Johannesburg
LUJ,Lusikisiki Airport,Lusikisiki,Eastern-Cape,ZA,1831,-31.36669922,29.58329964,Africa/Johannesburg
LCD,Louis Trichardt Airport,Louis Trichardt,Limpopo,ZA,3025,-23.06189919,29.86470032,Africa/Johannesburg
SDB,Langebaanweg Airport,Langebaanweg,Western-Cape,ZA,108,-32.96889877,18.1602993,Africa/Johannesburg
LAY,Ladysmith Airport,Ladysmith,KwaZulu-Natal,ZA,3548,-28.58169937,29.74970055,Africa/Johannesburg
AAM,Malamala Airport,Malamala,Mpumalanga,ZA,1124,-24.81809998,31.54459953,Africa/Johannesburg
MGH,Margate Airport,Margate,KwaZulu-Natal,ZA,495,-30.85740089,30.34300041,Africa/Johannesburg
MEZ,Musina(Messina) Airport,Musina,Limpopo,ZA,1904,-22.3560009,29.98620033,Africa/Johannesburg
MBD,Mmabatho International Airport,Mafeking,North-West,ZA,4181,-25.79840088,25.54800034,Africa/Johannesburg
LLE,Riverside Airport,Malelane,Mpumalanga,ZA,1024,-25.43000031,31.57670021,Africa/Johannesburg
MZY,Mossel Bay Airport,Mossel Bay,Western-Cape,ZA,531,-34.15829849,22.05859947,Africa/Johannesburg
MZQ,Mkuze Airport,Mkuze,KwaZulu-Natal,ZA,400,-27.62610054,32.04430008,Africa/Johannesburg
NCS,Newcastle Airport,Newcastle,KwaZulu-Natal,ZA,4074,-27.77059937,29.9769001,Africa/Johannesburg
NGL,Ngala Airport,Ngala,Mpumalanga,ZA,3357,-24.38780022,31.32579994,Africa/Johannesburg
NLP,Nelspruit Airport,Nelspruit,Mpumalanga,ZA,2875,-25.5,30.91379929,Africa/Johannesburg
OVG,Overberg Airport,Overberg,Western-Cape,ZA,52,-34.55490112,20.2507,Africa/Johannesburg
OUH,Oudtshoorn Airport,Oudtshoorn,Western-Cape,ZA,1063,-33.60699844,22.18899918,Africa/Johannesburg
JNB,Olifants River Bridge Landing Strip Airport,Olifants River Bridge,Limpopo,ZA,2420,-24.2670002,29.78300095,Africa/Johannesburg
AFD,Port Alfred Airport,Port Alfred,Eastern-Cape,ZA,307,-33.55419922,26.87770081,Africa/Johannesburg
PLZ,Port Elizabeth Airport,Port Elizabeth,Eastern-Cape,ZA,226,-33.98490143,25.61730003,Africa/Johannesburg
PBZ,Plettenberg Bay Airport,Plettenberg Bay,Western-Cape,ZA,465,-34.09030151,23.32780075,Africa/Johannesburg
PHW,Hendrik Van Eck Airport,Phalaborwa,Limpopo,ZA,1432,-23.93720055,31.15539932,Africa/Johannesburg
JOH,Port St Johns Airport,Port St Johns,Eastern-Cape,ZA,1227,-31.60589981,29.51980019,Africa/Johannesburg
PRK,Prieska Airport,Prieska,Northern-Cape,ZA,3100,-29.68359947,22.77059937,Africa/Johannesburg
PZB,Pietermaritzburg Airport,Pietermaritzburg,KwaZulu-Natal,ZA,2423,-29.64900017,30.39870071,Africa/Johannesburg
NTY,Pilanesberg International Airport,Pilanesberg,North-West,ZA,3412,-25.33379936,27.17340088,Africa/Johannesburg
PTG,Polokwane International Airport,Potgietersrus,Limpopo,ZA,4076,-23.84530067,29.45859909,Africa/Johannesburg
PCF,Potchefstroom Airport,Potchefstroom,North-West,ZA,4520,-26.67099953,27.08189964,Africa/Johannesburg
UTW,Queenstown Airport,Queenstown,Eastern-Cape,ZA,3637,-31.92020035,26.88220024,Africa/Johannesburg
RCB,Richards Bay Airport,Richards Bay,KwaZulu-Natal,ZA,109,-28.74099922,32.09209824,Africa/Johannesburg
RVO,Reivilo Airport,Reivilo,North-West,ZA,4715,-27.54719925,24.17250061,Africa/Johannesburg
ROD,Robertson Airport,Robertson,Western-Cape,ZA,640,-33.81219864,19.90279961,Africa/Johannesburg
SBU,Springbok Airport,Springbok,Northern-Cape,ZA,2690,-29.68930054,17.93959999,Africa/Johannesburg
ZEC,Secunda Airport,Secunda,Mpumalanga,ZA,5250,-26.52409935,29.17009926,Africa/Johannesburg
GSS,Sabi Sabi Airport,Belfast,Mpumalanga,ZA,1276,-24.94149971,31.44459915,Africa/Johannesburg
SIS,Sishen Airport,Sishen,Northern-Cape,ZA,3848,-27.64859962,22.9993,Africa/Johannesburg
SZK,Skukuza Airport,Skukuza,Mpumalanga,ZA,1020,-24.96089935,31.58869934,Africa/Johannesburg
TDT,Tanda Tula Airport,Welverdiend,Mpumalanga,ZA,1555,-24.53359985,31.29999924,Africa/Johannesburg
THY,Thohoyandou Airport,Thohoyandou,Limpopo,ZA,2021,-23.07690048,30.38360024,Africa/Johannesburg
TCU,Thaba Nchu Tar Airport,Homeward,Orange-Free-State,ZA,4941,-29.31780052,26.82279968,Africa/Johannesburg
LTA,Tzaneen Airport,Tzaneen,Limpopo,ZA,1914,-23.82439995,30.32929993,Africa/Johannesburg
ULD,Prince Mangosuthu Buthelezi Airport,Ulundi,KwaZulu-Natal,ZA,1720,-28.32060051,31.41650009,Africa/Johannesburg
UTN,Pierre Van Ryneveld Airport,Upington,Northern-Cape,ZA,2782,-28.39909935,21.2602005,Africa/Johannesburg
ULX,Ulusaba Airport,Ulusaba,Mpumalanga,ZA,1263,-24.78540039,31.35490036,Africa/Johannesburg
UTT,K. D. Matanzima Airport,Mthatha,Eastern-Cape,ZA,2400,-31.54789925,28.67429924,Africa/Johannesburg
VRU,Vryburg Airport,Vyrburg,North-West,ZA,3920,-26.98240089,24.72879982,Africa/Johannesburg
VIR,Virginia Airport,Durban,KwaZulu-Natal,ZA,20,-29.77059937,31.0583992,Africa/Johannesburg
VRE,Vredendal Airport,Vredendal,Western-Cape,ZA,330,-31.64100075,18.5447998,Africa/Johannesburg
VYD,Vryheid Airport,Vryheid,KwaZulu-Natal,ZA,3799,-27.78689957,30.79640007,Africa/Johannesburg
PRY,Wonderboom Airport,Pretoria,Gauteng,ZA,4095,-25.65390015,28.2241993,Africa/Johannesburg
WKF,Waterkloof Air Force Base,Pretoria,Gauteng,ZA,4940,-25.82999992,28.22249985,Africa/Johannesburg
WEL,Welkom Airport,Welkom,Orange-Free-State,ZA,4399,-27.99799919,26.66959953,Africa/Johannesburg
FRW,Francistown Airport,Francistown,North-East,BW,3283,-21.1595993,27.47450066,Africa/Gaborone
GNZ,Ghanzi Airport,Ghanzi,Ghanzi,BW,3730,-21.69249916,21.65810013,Africa/Gaborone
JWA,Jwaneng Airport,,Ngwaketsi,BW,3900,-24.60230064,24.69099998,Africa/Gaborone
BBK,Kasane Airport,Kasane,North-West,BW,3289,-17.83289909,25.16239929,Africa/Gaborone
KHW,Khwai River Lodge Airport,Khwai River Lodge,North-West,BW,3000,-19.14999962,23.78300095,Africa/Gaborone
MUB,Maun Airport,Maun,North-West,BW,3093,-19.97260094,23.43110085,Africa/Gaborone
ORP,Orapa Airport,,Central,BW,3100,-21.26670074,25.31669998,Africa/Gaborone
QPH,Palapye Airport,Palapye,Central,BW,3000,-22.56699944,27.14999962,Africa/Gaborone
GBE,Sir Seretse Khama International Airport,Gaborone,South-East,BW,3299,-24.55520058,25.91819954,Africa/Gaborone
SXN,Sua Pan Airport,,Central,BW,2985,-20.55340004,26.11580086,Africa/Gaborone
PKW,Selebi Phikwe Airport,,,BW,2925,-22.05830002,27.8288002,Africa/Gaborone
SWX,Shakawe Airport,Shakawe,North-West,BW,3379,-18.37389946,21.83259964,Africa/Gaborone
TLD,Limpopo Valley Airport,Tuli Lodge,Central,BW,1772,-22.18919945,29.12689972,Africa/Gaborone
TBY,Tshabong Airport,Tshabong,Kgalagadi,BW,3179,-26.0333004,22.39999962,Africa/Gaborone
BZV,Maya-Maya Airport,Brazzaville,Brazzaville,CG,1048,-4.251699925,15.25300026,Africa/Brazzaville
DJM,Djambala Airport,Djambala,Plateaux,CG,2595,-2.532999992,14.75,Africa/Brazzaville
KNJ,Kindamba Airport,Kindamba,Pool,CG,1460,-3.950000048,14.5170002,Africa/Brazzaville
LCO,Lague Airport,Lague,Plateaux,CG,2756,-2.450000048,14.53299999,Africa/Brazzaville
MUY,Mouyondzi Airport,Mouyondzi,Bouenza,CG,1670,-4.014873982,13.96611214,Africa/Brazzaville
SIB,Sibiti Airport,Sibiti,Lékoumou,CG,1883,-3.683000088,13.35000038,Africa/Brazzaville
NKY,Yokangassi Airport,Nkayi,Bouenza,CG,541,-4.217000008,13.28299999,Africa/Brazzaville
ANJ,Zanaga Airport,Zanaga,Lékoumou,CG,1870,-2.849999905,13.81700039,Africa/Brazzaville
MSX,Mossendjo Airport,Mossendjo,Niari,CG,1519,-2.950000048,12.69999981,Africa/Brazzaville
BOE,Boundji Airport,Boundji,Cuvette,CG,1247,-1.032999992,15.38300037,Africa/Brazzaville
EWO,Ewo Airport,Ewo,Cuvette-Ouest,CG,1503,-0.883000016,14.80000019,Africa/Brazzaville
GMM,Gamboma Airport,Gamboma,Plateaux,CG,1509,-1.829403,15.885237,Africa/Brazzaville
ION,Impfondo Airport,Impfondo,Likouala,CG,1099,1.616999984,18.06699944,Africa/Brazzaville
KEE,Kelle Airport,Kelle,Cuvette-Ouest,CG,1526,-0.082999997,14.53299999,Africa/Brazzaville
MKJ,Makoua Airport,Makoua,Cuvette,CG,1293,-0.017000001,15.58300018,Africa/Brazzaville
FTX,Owando Airport,Owando,Cuvette,CG,1214,-0.531350017,15.95009995,Africa/Brazzaville
SOE,Souanke Airport,Souanke,Sangha,CG,1722,2.066999912,14.13300037,Africa/Brazzaville
BTB,Betou Airport,Betou,Likouala,CG,1168,3.049999952,18.5,Africa/Brazzaville
OUE,Ouesso Airport,,Sangha,CG,1158,1.615990043,16.03790092,Africa/Brazzaville
KMK,Makabana Airport,Makabana,Niari,CG,495,-3.48300004,12.61699963,Africa/Brazzaville
DIS,Ngot Nzoungou Airport,Dolisie,Niari,CG,1079,-4.20635,12.6599,Africa/Brazzaville
PNR,Pointe Noire Airport,Pointe Noire,Kouilou,CG,55,-4.816030026,11.88659954,Africa/Brazzaville
MTS,Matsapha Airport,Manzini,Manzini,SZ,2075,-26.52899933,31.30750084,Africa/Mbabane
CRF,Carnot Airport,Carnot,Mambéré-Kadéï,CF,1985,4.936999798,15.89400005,Africa/Bangui
BGF,Bangui M'Poko International Airport,Bangui,Ombella-M'Poko,CF,1208,4.398479939,18.51880074,Africa/Bangui
BGU,Bangassou Airport,Bangassou,,CF,1706,4.784999847,22.78100014,Africa/Bangui
IRO,Birao Airport,Birao,Vakaga,CF,1696,10.23639965,22.71689987,Africa/Bangui
BEM,Bossembele Airport,Bossembele,Ombella-M'Poko,CF,2231,5.267000198,17.63299942,Africa/Bangui
BBY,Bambari Airport,Bambari,Ouaka,CF,1549,5.846940041,20.64749908,Africa/Bangui
NDL,N'Dele Airport,N'Dele,Bamingui-Bangoran,CF,1631,8.427206039,20.63515663,Africa/Bangui
BOP,Bouar Airport,Bouar,Nana-Mambéré,CF,3360,5.958000183,15.63700008,Africa/Bangui
BIV,Bria Airport,Bria,Haute-Kotto,CF,1975,6.527780056,21.98940086,Africa/Bangui
BSN,Bossangoa Airport,Bossangoa,Ouham,CF,1637,6.492000103,17.42900085,Africa/Bangui
BBT,Berberati Airport,Berberati,Mambéré-Kadéï,CF,1929,4.221580029,15.78639984,Africa/Bangui
ODA,Ouadda Airport,Ouadda,Haute-Kotto,CF,2461,8.010560036,22.39859962,Africa/Bangui
AIG,Yalinga Airport,Yalinga,Haute-Kotto,CF,1975,6.519999981,23.26000023,Africa/Bangui
IMO,Zemio Airport,Zemio,Haut-Mbomou,CF,1995,5.050000191,25.14999962,Africa/Bangui
MKI,M'Boki Airport,Mboki,Haut-Mbomou,CF,1969,5.333010197,25.93190002,Africa/Bangui
BTG,Batangafo Airport,Batangafo,Ouham,CF,1378,7.314109802,18.30879974,Africa/Bangui
GDI,Gordil Airport,Melle,Vakaga,CF,1427,9.583000183,21.7329998,Africa/Bangui
BMF,Bakouma Airport,Bakouma,Mbomou,CF,1640,5.693999767,22.8010006,Africa/Bangui
ODJ,Ouanda Djalle Airport,Ouanda Djalle,Vakaga,CF,1985,8.899999619,22.78300095,Africa/Bangui
RFA,Rafai Airport,Rafai,Mbomou,CF,1759,4.988609791,23.92779922,Africa/Bangui
BCF,Bouca Airport,Bouca,Ouham,CF,1532,6.517000198,18.2670002,Africa/Bangui
BOZ,Bozoum Airport,Bozoum,Ouham-Pendé,CF,2215,6.344170094,16.32189941,Africa/Bangui
BSG,Bata Airport,,Litoral,GQ,13,1.905470014,9.805680275,Africa/Malabo
SSG,Malabo Airport,Malabo,,GQ,76,3.755270004,8.708720207,Africa/Malabo
ASI,RAF Ascension Island,Ascension Island,Ascension,SH,278,-7.969600201,-14.39369965,Atlantic/St_Helena
MRU,Sir Seewoosagur Ramgoolam International Airport,Port Louis,Grand-Port,MU,186,-20.43020058,57.68360138,Indian/Mauritius
RRG,Sir Charles Gaetan Duval Airport,Port Mathurin,Rodrigues,MU,95,-19.75769997,63.36100006,Indian/Mauritius
NKW,Diego Garcia Naval Support Facility,Diego Garcia,,IO,9,-7.313270092,72.41110229,Indian/Chagos
NKS,Nkongsamba Airport,Nkongsamba,Littoral,CM,2641,4.949999809,9.932999611,Africa/Douala
KBI,Kribi Airport,Kribi,South,CM,148,2.873889923,9.977780342,Africa/Douala
TKC,Tiko Airport,Tiko,South-West,CM,151,4.089190006,9.3605299,Africa/Douala
DLA,Douala International Airport,Douala,Littoral,CM,33,4.006080151,9.719479561,Africa/Douala
MMF,Mamfe Airport,Mamfe,South-West,CM,413,5.704170227,9.306389809,Africa/Douala
BLC,Bali Airport,Bali,North-West,CM,4465,5.895277778,10.03388889,Africa/Douala
KLE,Kaele Airport,Kaele,Far-North,CM,1276,10.09249973,14.44559956,Africa/Douala
OUR,Batouri Airport,Batouri,East,CM,2152,4.474999905,14.36250019,Africa/Douala
GXX,Yagoua Airport,Yagoua,Far-North,CM,0,10.35610008,15.23719978,Africa/Douala
MVR,Salak Airport,Maroua,Far-North,CM,1390,10.4513998,14.25739956,Africa/Douala
FOM,Foumban Nkounja Airport,Foumban,West,CM,3963,5.636919975,10.75080013,Africa/Douala
NGE,N'Gaoundere Airport,N'Gaoundere,Adamaoua,CM,3655,7.357009888,13.55920029,Africa/Douala
BTA,Bertoua Airport,Bertoua,East,CM,2133,4.54861021,13.72609997,Africa/Douala
GOU,Garoua International Airport,Garoua,North,CM,794,9.335889816,13.37010002,Africa/Douala
DSC,Dschang Airport,Dschang,West,CM,4593,5.449999809,10.06700039,Africa/Douala
BFX,Bafoussam Airport,Bafoussam,West,CM,4347,5.536920071,10.35459995,Africa/Douala
BPC,Bamenda Airport,Bamenda,North-West,CM,4065,6.039239883,10.1225996,Africa/Douala
EBW,Ebolowa Airport,Ebolowa,South,CM,1975,2.875999928,11.18500042,Africa/Douala
YAO,Yaounde Airport,Yaounde,Centre,CM,2464,3.83604002,11.52350044,Africa/Douala
NSI,Yaounde Nsimalen International Airport,Yaounde,Centre,CM,2278,3.722559929,11.5532999,Africa/Douala
MMQ,Mbala Airport,Mbala,Northern,ZM,5454,-8.85916996,31.33639908,Africa/Lusaka
CIP,Chipata Airport,Chipata,Eastern,ZM,3360,-13.55830002,32.58720016,Africa/Lusaka
ZKP,Kasompe Airport,Kasompe,Copperbelt,ZM,4636,-12.57279968,27.89389992,Africa/Lusaka
LUN,Kenneth Kaunda International Airport,Lusaka,Lusaka,ZM,3779,-15.33080006,28.45260048,Africa/Lusaka
KLB,Kalabo Airport,Kalabo,Western,ZM,3450,-14.9982996,22.64539909,Africa/Lusaka
KMZ,Kaoma Airport,Kaoma,Western,ZM,3670,-14.80000019,24.78300095,Africa/Lusaka
KAA,Kasama Airport,Kasama,Northern,ZM,4541,-10.2166996,31.13330078,Africa/Lusaka
ZKB,Kasaba Bay Airport,Kasaba Bay,Northern,ZM,2780,-8.524999619,30.66300011,Africa/Lusaka
LVI,Livingstone Airport,Livingstone,Southern,ZM,3302,-17.82180023,25.8227005,Africa/Lusaka
LXU,Lukulu Airport,Lukulu,Western,ZM,3480,-14.37479973,23.24950027,Africa/Lusaka
MNS,Mansa Airport,Mansa,Luapula,ZM,4101,-11.13700008,28.87260056,Africa/Lusaka
MFU,Mfuwe Airport,Mfuwe,Eastern,ZM,1853,-13.25889969,31.93659973,Africa/Lusaka
MNR,Mongu Airport,Mongu,Western,ZM,3488,-15.25450039,23.16230011,Africa/Lusaka
ZGM,Ngoma Airport,Ngoma,Southern,ZM,3400,-15.96580029,25.93330002,Africa/Lusaka
NLA,Ndola Airport,Ndola,Copperbelt,ZM,4167,-12.99810028,28.66489983,Africa/Lusaka
SXG,Senanga Airport,Senanga,Western,ZM,3370,-16.10000038,23.2670002,Africa/Lusaka
KIW,Southdowns Airport,Kitwe,Copperbelt,ZM,4145,-12.9005003,28.14990044,Africa/Lusaka
SJQ,Sesheke Airport,Sesheke,Western,ZM,3100,-17.47629929,24.30470085,Africa/Lusaka
SLI,Solwesi Airport,Solwesi,North-Western,ZM,4551,-12.17370033,26.36510086,Africa/Lusaka
BBZ,Zambezi Airport,Zambezi,North-Western,ZM,3538,-13.53610039,23.10849953,Africa/Lusaka
HAH,Prince Said Ibrahim International Airport,Moroni,Grande-Comore,KM,93,-11.53369999,43.27190018,Indian/Comoro
NWA,Moheli Bandar Es Eslam Airport,,Mohéli,KM,46,-12.29810047,43.76639938,Indian/Comoro
YVA,Iconi Airport,Moroni,Grande-Comore,KM,33,-11.71080017,43.2439003,Indian/Comoro
AJN,Ouani Airport,Ouani,Anjouan,KM,62,-12.13169956,44.43030167,Indian/Comoro
DZA,Dzaoudzi Pamandzi International Airport,Dzaoudzi,Pamandzi,YT,23,-12.8046999,45.28110123,Indian/Mayotte
RUN,Roland Garros Airport,St Denis,Réunion,RE,66,-20.88710022,55.51029968,Indian/Reunion
ZSE,Pierrefonds Airport,St Pierre,Réunion,RE,59,-21.32089996,55.42499924,Indian/Reunion
WML,Malaimbandy Airport,Malaimbandy,,MG,597,-20.35539029,45.54337263,Indian/Antananarivo
ATJ,Antsirabe Airport,Antsirabe,,MG,4997,-19.83922148,47.06371307,Indian/Antananarivo
WAQ,Antsalova Airport,Antsalova,,MG,551,-18.70127324,44.61492062,Indian/Antananarivo
VVB,Mahanoro Airport,Mahanoro,,MG,16,-19.83300018,48.79999924,Indian/Antananarivo
TNR,Ivato Airport,Antananarivo,,MG,4198,-18.7968998,47.47880173,Indian/Antananarivo
JVA,Ankavandra Airport,Ankavandra,,MG,427,-18.80500952,45.2734673,Indian/Antananarivo
BMD,Belo sur Tsiribihina Airport,Belo sur Tsiribihina,Menabe,MG,154,-19.68670082,44.54190063,Indian/Antananarivo
ZVA,Miandrivazo Airport,,,MG,203,-19.56279945,45.45080185,Indian/Antananarivo
MXT,Maintirano Airport,Maintirano,Melaky,MG,95,-18.04999924,44.03300095,Indian/Antananarivo
ILK,Atsinanana Airport,Ilaka,,MG,33,-19.58300018,48.8030014,Indian/Antananarivo
TVA,Morafenobe Airport,Morafenobe,,MG,748,-17.85008346,44.92046714,Indian/Antananarivo
SMS,Sainte Marie Airport,,,MG,7,-17.09390068,49.81579971,Indian/Antananarivo
TMM,Toamasina Airport,,Atsinanana,MG,22,-18.10950089,49.39250183,Indian/Antananarivo
WTA,Tambohorano Airport,Tambohorano,,MG,23,-17.47610092,43.97280121,Indian/Antananarivo
MOQ,Morondava Airport,,Menabe,MG,30,-20.28470039,44.31760025,Indian/Antananarivo
WTS,Tsiroanomandidy Airport,Tsiroanomandidy,,MG,2776,-18.75967656,46.05406523,Indian/Antananarivo
VAT,Vatomandry Airport,Vatomandry,,MG,39,-19.383333,48.95,Indian/Antananarivo
WAM,Ambatondrazaka Airport,Ambatondrazaka,,MG,2513,-17.79537761,48.44258308,Indian/Antananarivo
DIE,Arrachart Airport,,Diana,MG,374,-12.34939957,49.29169846,Indian/Antananarivo
WMR,Mananara Nord Airport,Mananara Nord,Analanjirofo,MG,9,-16.16390038,49.7737999,Indian/Antananarivo
ZWA,Andapa Airport,,,MG,1552,-14.65170002,49.62060165,Indian/Antananarivo
AMB,Ambilobe Airport,,,MG,72,-13.18840027,48.98799896,Indian/Antananarivo
WBD,Avaratra Airport,Befandriana,,MG,820,-15.19999981,48.48300171,Indian/Antananarivo
WPB,Port Berge Airport,Port Berge,,MG,213,-15.58428647,47.62358665,Indian/Antananarivo
ANM,Antsirabato Airport,,Sava,MG,20,-14.99940014,50.32020187,Indian/Antananarivo
IVA,Ambanja Airport,Ambanja,,MG,36,-13.64570531,48.45942736,Indian/Antananarivo
HVA,Analalava Airport,,,MG,345,-14.62969971,47.76380157,Indian/Antananarivo
MJN,Amborovy Airport,,,MG,87,-15.66684174,46.35123253,Indian/Antananarivo
NOS,Fascene Airport,Nosy Be,Diana,MG,36,-13.31210041,48.31480026,Indian/Antananarivo
DWB,Soalala Airport,Soalala,,MG,141,-16.10169042,45.35883665,Indian/Antananarivo
WMP,Mampikony Airport,Mampikony,,MG,0,-16.07226934,47.64416456,Indian/Antananarivo
BPY,Besalampy Airport,,Melaky,MG,125,-16.7445303,44.48248386,Indian/Antananarivo
WMN,Maroantsetra Airport,,,MG,13,-15.43669987,49.68830109,Indian/Antananarivo
SVB,Sambava Airport,,,MG,20,-14.27859974,50.17470169,Indian/Antananarivo
TTS,Tsaratanana Airport,Tsaratanana,,MG,1073,-16.7510644,47.61901617,Indian/Antananarivo
VOH,Vohimarina Airport,,,MG,19,-13.37580013,50.00279999,Indian/Antananarivo
WAI,Ambalabe Airport,Antsohihy,,MG,92,-14.8987999,47.9939003,Indian/Antananarivo
WMA,Mandritsara Airport,Mandritsara,,MG,1007,-15.83304941,48.83328438,Indian/Antananarivo
WBO,Antsoa Airport,Beroroha,,MG,820,-21.60698376,45.13602018,Indian/Antananarivo
WMD,Mandabe Airport,Mandabe,,MG,951,-21.04630493,44.94041204,Indian/Antananarivo
FTU,Tolanaro Airport,Tolanaro,,MG,29,-25.03809929,46.95610046,Indian/Antananarivo
WFI,Fianarantsoa Airport,,,MG,3658,-21.4416008,47.11169815,Indian/Antananarivo
RVA,Farafangana Airport,,,MG,26,-22.80529976,47.8205986,Indian/Antananarivo
IHO,Ihosy Airport,Ihosy,Ihorombe,MG,2500,-22.4047202,46.16493702,Indian/Antananarivo
MJA,Manja Airport,Manja,,MG,787,-21.42610525,44.31650877,Indian/Antananarivo
WVK,Manakara Airport,,,MG,33,-22.11969948,48.02170181,Indian/Antananarivo
OVA,Bekily Airport,Bekily,,MG,1270,-24.23569475,45.30452728,Indian/Antananarivo
MNJ,Mananjary Airport,,,MG,20,-21.20179939,48.35829926,Indian/Antananarivo
TDV,Samangoky Airport,Tanandava,,MG,89,-21.70000076,43.73300171,Indian/Antananarivo
MXM,Morombe Airport,,Atsimo-Andrefana,MG,16,-21.75390053,43.37549973,Indian/Antananarivo
TLE,Toliara Airport,,,MG,29,-23.38339996,43.72850037,Indian/Antananarivo
